"",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif","Variable"
"44","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.684,"ns",1,"ns","Median number of rooms"
"45","Values","AAPI_Cluster","Southeast_Asian_Cluster",32,12,0.552,"ns",1,"ns","Median number of rooms"
"46","Values","East_Asian_Cluster","Southeast_Asian_Cluster",21,12,0.27,"ns",1,"ns","Median number of rooms"
"47","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.402,"ns",1,"ns","Median number of rooms"
"48","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.574,"ns",1,"ns","Median number of rooms"
"49","Values","AAPI_Cluster","East_Asian_Cluster",32,21,0.386,"ns",1,"ns","Median gross rent Total"
"50","Values","AAPI_Cluster","Filipino_Asian_Cluster",32,6,0.423,"ns",1,"ns","Median gross rent Total"
"51","Values","East_Asian_Cluster","Filipino_Asian_Cluster",21,6,0.807,"ns",1,"ns","Median gross rent Total"
"52","Values","AAPI_Cluster","SouthAsian_Cluster",32,14,0.798,"ns",1,"ns","Median gross rent Total"
"53","Values","East_Asian_Cluster","SouthAsian_Cluster",21,14,0.346,"ns",1,"ns","Median gross rent Total"
"54","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.37,"ns",1,"ns","Median gross rent Total"
"55","Values","AAPI_Cluster","Southeast_Asian_Cluster",32,12,0.821,"ns",1,"ns","Median gross rent Total"
"56","Values","East_Asian_Cluster","Southeast_Asian_Cluster",21,12,0.377,"ns",1,"ns","Median gross rent Total"
"57","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.387,"ns",1,"ns","Median gross rent Total"
"58","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.99,"ns",1,"ns","Median gross rent Total"
"59","Values","AAPI_Cluster","East_Asian_Cluster",32,21,0.533,"ns",1,"ns","Median year structure built"
"60","Values","AAPI_Cluster","Filipino_Asian_Cluster",32,6,0.0737,"ns",0.59,"ns","Median year structure built"
"61","Values","East_Asian_Cluster","Filipino_Asian_Cluster",21,6,0.177,"ns",1,"ns","Median year structure built"
"62","Values","AAPI_Cluster","SouthAsian_Cluster",32,14,0.338,"ns",1,"ns","Median year structure built"
"63","Values","East_Asian_Cluster","SouthAsian_Cluster",21,14,0.164,"ns",1,"ns","Median year structure built"
"64","Values","AAPI_Cluster","Southeast_Asian_Cluster",32,12,0.172,"ns",1,"ns","Median year structure built"
"65","Values","East_Asian_Cluster","Southeast_Asian_Cluster",21,12,0.423,"ns",1,"ns","Median year structure built"
"66","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.499,"ns",1,"ns","Median year structure built"
"67","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.052,"ns",0.468,"ns","Median year structure built"
"68","Values","AAPI_Cluster","East_Asian_Cluster",32,21,0.867,"ns",1,"ns","Median gross rent as a percentage of household income"
"69","Values","AAPI_Cluster","Filipino_Asian_Cluster",32,6,0.645,"ns",1,"ns","Median gross rent as a percentage of household income"
"70","Values","East_Asian_Cluster","Filipino_Asian_Cluster",21,6,0.586,"ns",1,"ns","Median gross rent as a percentage of household income"
"71","Values","AAPI_Cluster","SouthAsian_Cluster",32,14,0.49,"ns",1,"ns","Median gross rent as a percentage of household income"
"72","Values","East_Asian_Cluster","SouthAsian_Cluster",21,14,0.613,"ns",1,"ns","Median gross rent as a percentage of household income"
"73","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.383,"ns",1,"ns","Median gross rent as a percentage of household income"
"74","Values","AAPI_Cluster","Southeast_Asian_Cluster",32,12,0.159,"ns",1,"ns","Median gross rent as a percentage of household income"
"75","Values","East_Asian_Cluster","Southeast_Asian_Cluster",21,12,0.148,"ns",1,"ns","Median gross rent as a percentage of household income"
"76","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.583,"ns",1,"ns","Median gross rent as a percentage of household income"
"77","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.0775,"ns",0.775,"ns","Median gross rent as a percentage of household income"
"78","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.275,"ns",1,"ns","$100+K_Income"
"79","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.123,"ns",0.859,"ns","$100+K_Income"
"80","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.689,"ns",1,"ns","$100+K_Income"
"81","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.214,"ns",1,"ns","$100+K_Income"
"82","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.252,"ns",1,"ns","$100+K_Income"
"83","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.0553,"ns",0.442,"ns","$100+K_Income"
"84","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.94,"ns",1,"ns","$100+K_Income"
"85","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.186,"ns",1,"ns","$100+K_Income"
"86","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.702,"ns",1,"ns","$50-$99k_Income"
"87","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.759,"ns",1,"ns","$50-$99k_Income"
"88","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.944,"ns",1,"ns","$50-$99k_Income"
"89","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.86,"ns",1,"ns","$50-$99k_Income"
"90","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.888,"ns",1,"ns","$50-$99k_Income"
"91","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.87,"ns",1,"ns","$50-$99k_Income"
"92","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.785,"ns",1,"ns","$50-$99k_Income"
"93","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.974,"ns",1,"ns","$50-$99k_Income"
"94","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.93,"ns",1,"ns","$50-$99k_Income"
"95","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.927,"ns",1,"ns","$50-$99k_Income"
"96","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.996,"ns",1,"ns","AAPI_Race"
"97","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.654,"ns",1,"ns","AAPI_Race"
"98","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.667,"ns",1,"ns","AAPI_Race"
"99","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.389,"ns",1,"ns","AAPI_Race"
"100","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.422,"ns",1,"ns","AAPI_Race"
"101","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.877,"ns",1,"ns","AAPI_Race"
"102","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.709,"ns",1,"ns","AAPI_Race"
"103","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.722,"ns",1,"ns","AAPI_Race"
"104","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.517,"ns",1,"ns","AAPI_Race"
"105","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.311,"ns",1,"ns","AAPI_Race"
"106","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.107,"ns",0.852,"ns","Bachelor_more_Edu_Attainment"
"107","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.898,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"108","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.405,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"109","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.203,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"110","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.344,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"111","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.419,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"112","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.511,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"113","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.734,"ns",1,"ns","Bachelor_more_Edu_Attainment"
"114","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.548,"ns",1,"ns","Black_Race"
"115","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.151,"ns",0.755,"ns","Black_Race"
"116","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.0829,"ns",0.557,"ns","Black_Race"
"117","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.483,"ns",1,"ns","Black_Race"
"118","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.857,"ns",1,"ns","Black_Race"
"119","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.0796,"ns",0.557,"ns","Black_Race"
"120","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.0632,"ns",0.506,"ns","Black_Race"
"121","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.985,"ns",1,"ns","Black_Race"
"122","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.481,"ns",1,"ns","East_Asian_Asian"
"123","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.92,"ns",1,"ns","East_Asian_Asian"
"124","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.75,"ns",1,"ns","East_Asian_Asian"
"125","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.799,"ns",1,"ns","East_Asian_Asian"
"126","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.424,"ns",1,"ns","East_Asian_Asian"
"127","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.797,"ns",1,"ns","East_Asian_Asian"
"128","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.818,"ns",1,"ns","East_Asian_Asian"
"129","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.453,"ns",1,"ns","East_Asian_Asian"
"130","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.807,"ns",1,"ns","East_Asian_Asian"
"131","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.993,"ns",1,"ns","East_Asian_Asian"
"132","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.544,"ns",1,"ns","Filipino_Asian"
"133","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.492,"ns",1,"ns","Filipino_Asian"
"134","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.308,"ns",1,"ns","Filipino_Asian"
"135","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.414,"ns",1,"ns","Filipino_Asian"
"136","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.213,"ns",1,"ns","Filipino_Asian"
"137","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.928,"ns",1,"ns","Filipino_Asian"
"138","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.473,"ns",1,"ns","Filipino_Asian"
"139","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.257,"ns",1,"ns","Filipino_Asian"
"140","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.9,"ns",1,"ns","Filipino_Asian"
"141","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.962,"ns",1,"ns","Filipino_Asian"
"142","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.258,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"143","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.402,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"144","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.886,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"145","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.684,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"146","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.201,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"147","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.306,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"148","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.885,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"149","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.469,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"150","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.518,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"151","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.652,"ns",1,"ns","High_School_No_Bachelor_Edu_Attainment"
"152","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.814,"ns",1,"ns","Indigenous_Race"
"153","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.315,"ns",1,"ns","Indigenous_Race"
"154","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.404,"ns",1,"ns","Indigenous_Race"
"155","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.694,"ns",1,"ns","Indigenous_Race"
"156","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.857,"ns",1,"ns","Indigenous_Race"
"157","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.51,"ns",1,"ns","Indigenous_Race"
"158","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.426,"ns",1,"ns","Indigenous_Race"
"159","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.566,"ns",1,"ns","Indigenous_Race"
"160","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.721,"ns",1,"ns","Indigenous_Race"
"161","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.716,"ns",1,"ns","Indigenous_Race"
"162","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.559,"ns",1,"ns","Less_$50k_Income"
"163","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.782,"ns",1,"ns","Less_$50k_Income"
"164","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.541,"ns",1,"ns","Less_$50k_Income"
"165","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.669,"ns",1,"ns","Less_$50k_Income"
"166","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.948,"ns",1,"ns","Less_$50k_Income"
"167","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.597,"ns",1,"ns","Less_$50k_Income"
"168","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.552,"ns",1,"ns","Less_$50k_Income"
"169","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.316,"ns",1,"ns","Less_$50k_Income"
"170","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.877,"ns",1,"ns","Less_$50k_Income"
"171","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.394,"ns",1,"ns","Less_$50k_Income"
"172","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.841,"ns",1,"ns","multiracial_Race"
"173","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.654,"ns",1,"ns","multiracial_Race"
"174","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.582,"ns",1,"ns","multiracial_Race"
"175","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.99,"ns",1,"ns","multiracial_Race"
"176","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.864,"ns",1,"ns","multiracial_Race"
"177","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.691,"ns",1,"ns","multiracial_Race"
"178","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.966,"ns",1,"ns","multiracial_Race"
"179","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.912,"ns",1,"ns","multiracial_Race"
"180","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.67,"ns",1,"ns","multiracial_Race"
"181","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.962,"ns",1,"ns","multiracial_Race"
"182","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.99,"ns",1,"ns","Other_Asian"
"183","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.261,"ns",1,"ns","Other_Asian"
"184","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.274,"ns",1,"ns","Other_Asian"
"185","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.649,"ns",1,"ns","Other_Asian"
"186","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.662,"ns",1,"ns","Other_Asian"
"187","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.468,"ns",1,"ns","Other_Asian"
"188","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.555,"ns",1,"ns","Other_Asian"
"189","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.571,"ns",1,"ns","Other_Asian"
"190","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.548,"ns",1,"ns","Other_Asian"
"191","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.891,"ns",1,"ns","Other_Asian"
"192","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.713,"ns",1,"ns","Other_Race"
"193","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.325,"ns",1,"ns","Other_Race"
"194","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.462,"ns",1,"ns","Other_Race"
"195","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.652,"ns",1,"ns","Other_Race"
"196","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.475,"ns",1,"ns","Other_Race"
"197","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.237,"ns",1,"ns","Other_Race"
"198","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.494,"ns",1,"ns","Other_Race"
"199","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.714,"ns",1,"ns","Other_Race"
"200","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.679,"ns",1,"ns","Other_Race"
"201","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.344,"ns",1,"ns","Other_Race"
"202","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.241,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"203","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.676,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"204","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.274,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"205","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.158,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"206","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.586,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"207","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.988,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"208","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.366,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"209","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.718,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"210","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.259,"ns",1,"ns","Some_HS_or_less_Edu_Attainment"
"211","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.852,"ns",1,"ns","South_Asian_Asian"
"212","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.898,"ns",1,"ns","South_Asian_Asian"
"213","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.815,"ns",1,"ns","South_Asian_Asian"
"214","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.587,"ns",1,"ns","South_Asian_Asian"
"215","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.719,"ns",1,"ns","South_Asian_Asian"
"216","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.639,"ns",1,"ns","South_Asian_Asian"
"217","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.216,"ns",1,"ns","South_Asian_Asian"
"218","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.191,"ns",1,"ns","South_Asian_Asian"
"219","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.472,"ns",1,"ns","South_Asian_Asian"
"220","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.136,"ns",1,"ns","South_Asian_Asian"
"221","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.504,"ns",1,"ns","Southeast_Asian_Asian"
"222","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.476,"ns",1,"ns","Southeast_Asian_Asian"
"223","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.28,"ns",1,"ns","Southeast_Asian_Asian"
"224","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.228,"ns",1,"ns","Southeast_Asian_Asian"
"225","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.0979,"ns",0.979,"ns","Southeast_Asian_Asian"
"226","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.888,"ns",1,"ns","Southeast_Asian_Asian"
"227","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.567,"ns",1,"ns","Southeast_Asian_Asian"
"228","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.296,"ns",1,"ns","Southeast_Asian_Asian"
"229","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.805,"ns",1,"ns","Southeast_Asian_Asian"
